,precision,recall,f1-score,support
Bersem,0.0,0.0,0.0,16.0
Coriander,0.0,0.0,0.0,14.0
Garlic,0.6666666666666666,0.041666666666666664,0.0784313725490196,48.0
Gram,0.0,0.0,0.0,59.0
Green pea,0.0,0.0,0.0,23.0
Lentil,0.0,0.0,0.0,103.0
Maize,0.652317880794702,0.6723549488054608,0.6621848739495798,293.0
Mustard,0.5582137161084529,0.35353535353535354,0.4329004329004329,990.0
No crop/Fallow,0.6916475972540046,0.7367458866544789,0.7134848037769254,1641.0
Potato,0.0,0.0,0.0,41.0
Rice,0.45454545454545453,0.03875968992248062,0.07142857142857142,129.0
Sugarcane,0.3220338983050847,0.1165644171779141,0.17117117117117117,163.0
Wheat,0.6171735241502684,0.8493353028064993,0.7148777455449647,2031.0
accuracy,0.6317780580075663,0.6317780580075663,0.6317780580075663,0.6317780580075663
macro avg,0.30481528752497183,0.2160740204283734,0.21880607471697422,5551.0
weighted avg,0.5900489536521933,0.6317780580075663,0.5920044592570624,5551.0
